SystemCodeNumber,Timestamp,price,diff,time,Occupancy,Capacity,Hour,Minute,TimeSlot,occupancyRate,EMA_occupancy
Broad Street,2016-12-14 10:02:00,11.75,1,1751787993992,625,690,10,2,0.5901960784313726,0.9057971014492754,0.7177536231884059
BHMEURBRD01,2016-11-17 11:31:00,11.49,1,1751787993992,431,470,11,31,0.6774509803921569,0.9170212765957447,0.8446808510638297
BHMBCCMKT01,2016-10-31 10:26:00,10.54,1,1751787993992,129,577,10,26,0.6137254901960785,0.22357019064124783,0.22357019064124783
Others-CCCPS119a,2016-12-16 08:30:00,11.4,1,1751787993992,266,2803,8,30,0.5,0.09489832322511595,0.21610774170531571
Others-CCCPS98,2016-11-10 12:00:00,11.17,1,1751787993992,1302,3103,12,0,0.7058823529411765,0.41959394134708344,0.3188849500483403
Shopping,2016-12-10 08:29:00,11.57,1,1751787993992,351,1920,8,29,0.4990196078431372,0.1828125,0.24199218749999998
Others-CCCPS98,2016-12-05 08:02:00,11.42,1,1751787993992,485,3103,8,2,0.4725490196078431,0.15630035449564939,0.23759265227199483
Others-CCCPS8,2016-10-06 07:57:00,11.43,1,1751787993992,404,1322,7,57,0.4676470588235294,0.30559757942511345,0.3105143721633888
Others-CCCPS105a,2016-12-02 09:01:00,10.77,1,1751787993992,975,2009,9,1,0.5303921568627451,0.48531607765057244,0.48531607765057244
Shopping,2016-10-12 13:34:00,11.98,1,1751787993992,1390,1920,13,34,0.7980392156862745,0.7239583333333334,0.48297526041666666
BHMNCPNST01,2016-11-11 11:00:00,11.44,1,1751787993992,308,485,11,0,0.6470588235294118,0.6350515463917525,0.7412371134020619
Others-CCCPS105a,2016-11-21 13:31:00,11.42,1,1751787993992,1331,2009,13,31,0.7950980392156863,0.6625186660029866,0.5739173718267795
BHMNCPHST01,2016-11-14 09:27:00,10.75,1,1751787993992,530,1200,9,27,0.5558823529411764,0.44166666666666665,0.44166666666666665
BHMEURBRD01,2016-10-25 16:29:00,11.9,1,1751787993992,368,470,16,29,0.969607843137255,0.7829787234042553,0.8138297872340425
Others-CCCPS98,2016-11-28 16:28:00,11.61,1,1751787993992,651,3103,16,28,0.968627450980392,0.20979697067354172,0.22369481147276826
BHMNCPNST01,2016-12-11 16:25:00,11.85,1,1751787993992,280,485,16,25,0.965686274509804,0.5773195876288659,0.6592783505154639
Broad Street,2016-12-17 12:00:00,12.05,1,1751787993992,209,690,12,0,0.7058823529411765,0.30289855072463767,0.5103260869565218
Others-CCCPS119a,2016-12-01 12:58:00,11.79,1,1751787993992,660,2803,12,58,0.7627450980392156,0.2354620049946486,0.22578487334998215
BHMMBMMBX01,2016-11-28 11:01:00,11.44,1,1751787993992,479,687,11,1,0.6480392156862745,0.6972343522561864,0.7379912663755459
Others-CCCPS105a,2016-10-05 16:04:00,11.82,1,1751787993992,1198,2009,16,4,0.9450980392156862,0.5963165754106521,0.5851169736187158
BHMEURBRD01,2016-12-08 16:32:00,12.17,1,1751787993992,321,470,16,32,0.9725490196078432,0.6829787234042554,0.748404255319149
BHMMBMMBX01,2016-10-15 14:27:00,11.85,1,1751787993992,480,687,14,27,0.85,0.6986899563318777,0.7183406113537119
Others-CCCPS8,2016-10-11 13:31:00,11.87,1,1751787993992,831,1322,13,31,0.7950980392156863,0.6285930408472012,0.46955370650529504
BHMEURBRD01,2016-10-11 10:30:00,12.38,1,1751787993992,406,470,10,30,0.6176470588235294,0.8638297872340426,0.8061170212765958
Others-CCCPS105a,2016-11-21 08:31:00,11.94,1,1751787993992,602,2009,8,31,0.5009803921568627,0.29965156794425085,0.44238427078148335
Others-CCCPS135a,2016-12-18 12:56:00,11.5,1,1751787993992,1714,3883,12,56,0.7607843137254902,0.4414112799381921,0.6657223796033994
Others-CCCPS98,2016-10-08 07:57:00,11.69,1,1751787993992,628,3103,7,57,0.4676470588235294,0.20238478891395423,0.21303980019336125
Others-CCCPS105a,2016-12-09 13:29:00,12.24,1,1751787993992,1505,2009,13,29,0.7931372549019607,0.7491289198606271,0.5957565953210553
BHMBCCMKT01,2016-10-16 15:31:00,11.11,1,1751787993992,185,577,15,31,0.9127450980392158,0.32062391681109187,0.2720970537261699
Others-CCCPS135a,2016-10-05 12:57:00,11.94,1,1751787993992,3145,3883,12,57,0.7617647058823529,0.8099407674478496,0.7378315735256245
Others-CCCPS105a,2016-10-26 09:26:00,12.35,1,1751787993992,999,2009,9,26,0.5549019607843138,0.49726231956197114,0.5465094574415132
BHMMBMMBX01,2016-11-28 14:32:00,12.08,1,1751787993992,356,687,14,32,0.8549019607843137,0.5181950509461426,0.6182678311499272
Shopping,2016-11-14 11:00:00,12.22,1,1751787993992,1375,1920,11,0,0.6470588235294118,0.7161458333333334,0.599560546875
Others-CCCPS202,2016-10-12 15:01:00,11.42,1,1751787993992,1260,2937,15,1,0.8833333333333334,0.4290091930541369,0.35546475995914195
Shopping,2016-10-30 13:59:00,12.29,1,1751787993992,524,1920,13,59,0.8225490196078431,0.27291666666666664,0.43623860677083337
Others-CCCPS202,2016-12-09 08:55:00,11.62,1,1751787993992,861,2937,8,55,0.5245098039215685,0.2931562819203269,0.32431052093973445
BHMNCPHST01,2016-12-15 09:30:00,11.29,1,1751787993992,603,1200,9,30,0.5588235294117647,0.5025,0.4720833333333333
Others-CCCPS119a,2016-11-19 16:31:00,11.85,1,1751787993992,611,2803,16,31,0.9715686274509804,0.21798073492686407,0.2218828041384231
Broad Street,2016-10-11 08:30:00,12.16,1,1751787993992,280,690,8,30,0.5,0.4057971014492754,0.4580615942028986
BHMNCPNST01,2016-11-19 13:31:00,12.13,1,1751787993992,341,485,13,31,0.7950980392156863,0.7030927835051546,0.6811855670103093
Others-CCCPS135a,2016-10-05 12:30:00,12.25,1,1751787993992,3190,3883,12,30,0.7352941176470589,0.8215297450424929,0.7796806592840586
Broad Street,2016-12-01 09:58:00,12.39,1,1751787993992,628,690,9,58,0.5862745098039216,0.9101449275362319,0.6841032608695652
Others-CCCPS8,2016-11-06 09:33:00,11.99,1,1751787993992,276,1322,9,33,0.5617647058823529,0.2087745839636914,0.33916414523449323
BHMMBMMBX01,2016-11-08 13:00:00,12.35,1,1751787993992,672,687,13,0,0.7647058823529411,0.9781659388646288,0.7982168850072779
Others-CCCPS119a,2016-11-27 15:01:00,12.05,1,1751787993992,1129,2803,15,1,0.8833333333333334,0.4027827327863004,0.31233276846236174
Others-CCCPS8,2016-10-22 08:26:00,11.98,1,1751787993992,302,1322,8,26,0.49607843137254903,0.22844175491679275,0.283802950075643
Others-CCCPS98,2016-10-10 12:30:00,12.02,1,1751787993992,1093,3103,12,30,0.7352941176470589,0.35223976796648404,0.28263978407992263
Shopping,2016-12-01 13:58:00,12.47,1,1751787993992,1573,1920,13,58,0.8215686274509804,0.8192708333333333,0.6277547200520833
Others-CCCPS8,2016-12-01 09:25:00,12.13,1,1751787993992,614,1322,9,25,0.5539215686274509,0.46444780635400906,0.37412537821482605
BHMEURBRD01,2016-10-23 13:26:00,12.51,1,1751787993992,108,470,13,26,0.7901960784313725,0.2297872340425532,0.5179521276595744
Others-CCCPS119a,2016-11-18 08:01:00,11.88,1,1751787993992,197,2803,8,1,0.47156862745098044,0.07028184088476633,0.19130730467356405
Others-CCCPS119a,2016-11-18 08:01:00,11.88,1,1751787993992,197,2803,8,1,0.47156862745098044,0.07028184088476633,0.13079457277916517
BHMBCCTHL01,2016-10-04 12:29:00,11.41,1,1751787993992,334,387,12,29,0.734313725490196,0.8630490956072352,0.640826873385013
Others-CCCPS119a,2016-11-05 15:26:00,11.81,1,1751787993992,422,2803,15,26,0.907843137254902,0.1505529789511238,0.14067377586514448
Others-CCCPS202,2016-10-06 13:57:00,11.89,1,1751787993992,1337,2937,13,57,0.8205882352941176,0.45522642151855636,0.3897684712291454
BHMNCPNST01,2016-10-13 11:57:00,12.33,1,1751787993992,348,485,11,57,0.7029411764705882,0.7175257731958763,0.6993556701030927
Broad Street,2016-11-19 13:04:00,12.49,1,1751787993992,219,690,13,4,0.7686274509803921,0.3173913043478261,0.5007472826086956
BHMBCCMKT01,2016-10-19 15:59:00,11.37,1,1751787993992,117,577,15,59,0.9401960784313725,0.2027729636048527,0.2374350086655113
BHMNCPHST01,2016-11-07 10:26:00,11.71,1,1751787993992,662,1200,10,26,0.6137254901960785,0.5516666666666666,0.511875
Others-CCCPS8,2016-12-08 15:26:00,12.32,1,1751787993992,852,1322,15,26,0.907843137254902,0.6444780635400907,0.5093017208774584
Others-CCCPS8,2016-11-09 13:00:00,12.46,1,1751787993992,809,1322,13,0,0.7647058823529411,0.6119515885022693,0.5606266546898638
Shopping,2016-11-07 16:33:00,12.52,1,1751787993992,997,1920,16,33,0.973529411764706,0.5192708333333333,0.5735127766927084
Others-CCCPS8,2016-11-28 11:32:00,12.53,1,1751787993992,786,1322,11,32,0.6784313725490196,0.594553706505295,0.5775901805975794
Broad Street,2016-11-27 12:01:00,12.57,1,1751787993992,122,690,12,1,0.7068627450980393,0.17681159420289855,0.33877943840579705
BHMBCCMKT01,2016-12-02 15:58:00,11.54,1,1751787993992,131,577,15,58,0.9392156862745098,0.2270363951473137,0.2322357019064125
BHMNCPHST01,2016-10-11 10:57:00,11.99,1,1751787993992,722,1200,10,57,0.6441176470588235,0.6016666666666667,0.5567708333333333
Others-CCCPS98,2016-10-10 10:57:00,12.08,1,1751787993992,1035,3103,10,57,0.6441176470588235,0.3335481791814373,0.30809398163067997
Broad Street,2016-12-02 13:25:00,12.69,1,1751787993992,626,690,13,25,0.7892156862745098,0.9072463768115943,0.6230129076086957
Others-CCCPS105a,2016-11-22 13:57:00,12.48,1,1751787993992,1384,2009,13,57,0.8205882352941176,0.6888999502239921,0.6177047038327527
BHMNCPNST01,2016-12-08 11:59:00,12.48,1,1751787993992,344,485,11,59,0.7049019607843137,0.709278350515464,0.7043170103092784
Others-CCCPS98,2016-10-08 16:30:00,12.19,1,1751787993992,1126,3103,16,30,0.9705882352941176,0.3628746374476313,0.33548430953915565
Shopping,2016-10-11 16:01:00,12.59,1,1751787993992,1149,1920,16,1,0.942156862745098,0.5984375,0.5859751383463542
BHMBCCMKT01,2016-11-16 11:27:00,11.66,1,1751787993992,163,577,11,27,0.6735294117647058,0.2824956672443674,0.25736568457538994
BHMMBMMBX01,2016-12-19 15:29:00,12.51,1,1751787993992,608,687,15,29,0.9107843137254902,0.8850072780203785,0.8416120815138282
Shopping,2016-11-06 09:33:00,12.49,1,1751787993992,338,1920,9,33,0.5617647058823529,0.17604166666666668,0.3810084025065104
BHMBCCMKT01,2016-10-26 09:59:00,11.72,1,1751787993992,108,577,9,59,0.5872549019607842,0.18717504332755633,0.22227036395147315
Shopping,2016-12-08 10:32:00,12.58,1,1751787993992,1401,1920,10,32,0.6196078431372549,0.7296875,0.5553479512532552
Others-CCCPS105a,2016-11-22 14:31:00,12.57,1,1751787993992,1349,2009,14,31,0.853921568627451,0.6714783474365356,0.6445915256346442
Broad Street,2016-11-18 13:01:00,12.77,1,1751787993992,603,690,13,1,0.765686274509804,0.8739130434782608,0.7484629755434782
BHMNCPNST01,2016-11-20 13:27:00,12.61,1,1751787993992,242,485,13,27,0.7911764705882353,0.49896907216494846,0.6016430412371134
Others-CCCPS119a,2016-11-13 12:27:00,12.1,1,1751787993992,473,2803,12,27,0.7323529411764705,0.16874777024616483,0.15471077305565467
Others-CCCPS8,2016-10-27 15:59:00,12.58,1,1751787993992,732,1322,15,59,0.9401960784313725,0.5537065052950075,0.5656483429462935
BHMBCCTHL01,2016-11-30 14:28:00,11.87,1,1751787993992,393,387,14,28,0.8509803921568627,1.0155038759689923,0.8281653746770026
BHMEURBRD01,2016-11-15 10:30:00,12.62,1,1751787993992,401,470,10,30,0.6176470588235294,0.8531914893617021,0.6855718085106383
BHMEURBRD01,2016-12-08 08:59:00,12.63,1,1751787993992,273,470,8,59,0.5284313725490195,0.5808510638297872,0.6332114361702128
BHMMBMMBX01,2016-11-20 16:01:00,12.62,1,1751787993992,485,687,16,1,0.942156862745098,0.7059679767103348,0.7737900291120815
BHMMBMMBX01,2016-11-16 14:00:00,12.7,1,1751787993992,579,687,14,0,0.8235294117647058,0.8427947598253275,0.8082923944687045
Shopping,2016-10-11 10:30:00,12.62,1,1751787993992,1310,1920,10,30,0.6176470588235294,0.6822916666666666,0.6188198089599609
BHMBCCMKT01,2016-10-10 14:03:00,11.98,1,1751787993992,161,577,14,3,0.8264705882352942,0.27902946273830154,0.25064991334488734
Others-CCCPS105a,2016-10-04 13:02:00,12.68,1,1751787993992,1461,2009,13,2,0.7666666666666666,0.7272274763563962,0.6859095009955202
Others-CCCPS8,2016-10-07 15:30:00,12.59,1,1751787993992,602,1322,15,30,0.9117647058823529,0.45537065052950076,0.5105094967378971
Others-CCCPS105a,2016-10-10 10:30:00,12.66,1,1751787993992,1071,2009,10,30,0.6176470588235294,0.5331010452961672,0.6095052731458437
Others-CCCPS8,2016-10-11 10:57:00,12.59,1,1751787993992,795,1322,10,57,0.6441176470588235,0.6013615733736762,0.5559355350557866
BHMNCPNST01,2016-10-22 11:32:00,12.63,1,1751787993992,266,485,11,32,0.6784313725490196,0.5484536082474227,0.5750483247422681
Others-CCCPS135a,2016-10-05 12:04:00,12.47,1,1751787993992,3213,3883,12,4,0.7098039215686275,0.8274530002575329,0.8035668297707957
Others-CCCPS202,2016-11-14 09:00:00,11.95,1,1751787993992,720,2937,9,0,0.5294117647058824,0.24514811031664965,0.3174582907728975
Others-CCCPS135a,2016-10-29 12:59:00,12.57,1,1751787993992,1343,3883,12,59,0.7637254901960784,0.34586659799124386,0.5747167138810199
Others-CCCPS135a,2016-11-23 12:31:00,12.7,1,1751787993992,3377,3883,12,31,0.7362745098039216,0.8696883852691218,0.7222025495750708
Broad Street,2016-11-11 09:00:00,12.75,1,1751787993992,393,690,9,0,0.5294117647058824,0.5695652173913044,0.6590140964673913
Others-CCCPS8,2016-10-28 14:29:00,12.63,1,1751787993992,794,1322,14,29,0.8519607843137255,0.6006051437216339,0.5782703393887103
Others-CCCPS8,2016-12-06 11:02:00,12.64,1,1751787993992,725,1322,11,2,0.6490196078431373,0.5484114977307111,0.5633409185597107
Shopping,2016-10-09 11:57:00,12.55,1,1751787993992,417,1920,11,57,0.7029411764705882,0.2171875,0.41800365447998045
BHMEURBRD01,2016-11-14 08:00:00,12.46,1,1751787993992,114,470,8,0,0.47058823529411764,0.2425531914893617,0.43788231382978726
BHMBCCTHL01,2016-11-15 11:57:00,12.18,1,1751787993992,329,387,11,57,0.7029411764705882,0.8501291989664083,0.8391472868217054
BHMNCPHST01,2016-10-29 11:25:00,12.19,1,1751787993992,287,1200,11,25,0.6715686274509803,0.23916666666666667,0.39796875
Shopping,2016-11-23 14:30:00,12.64,1,1751787993992,1488,1920,14,30,0.8529411764705882,0.775,0.5965018272399902
Others-CCCPS8,2016-12-15 15:00:00,12.68,1,1751787993992,874,1322,15,0,0.8823529411764706,0.6611195158850227,0.6122302172223667
Shopping,2016-12-15 10:30:00,12.68,1,1751787993992,1366,1920,10,30,0.6176470588235294,0.7114583333333333,0.6539800802866618
Others-CCCPS98,2016-11-26 14:01:00,12.28,1,1751787993992,1368,3103,14,1,0.8245098039215687,0.440863680309378,0.38817399492426685
BHMNCPNST01,2016-12-01 16:25:00,12.68,1,1751787993992,321,485,16,25,0.965686274509804,0.6618556701030928,0.6184519974226804
Broad Street,2016-10-08 14:03:00,12.55,1,1751787993992,160,690,14,3,0.8264705882352942,0.2318840579710145,0.4454490772192029
Others-CCCPS105a,2016-10-08 12:04:00,12.73,1,1751787993992,1047,2009,12,4,0.7098039215686275,0.5211548033847685,0.5653300382653061
BHMBCCMKT01,2016-11-10 08:00:00,11.74,1,1751787993992,36,577,8,0,0.47058823529411764,0.06239168110918544,0.15652079722703638
BHMMBMMBX01,2016-10-16 13:27:00,12.77,1,1751787993992,613,687,13,27,0.7911764705882353,0.8922852983988355,0.85028884643377
Broad Street,2016-11-04 10:26:00,12.64,1,1751787993992,598,690,10,26,0.6137254901960785,0.8666666666666667,0.6560578719429349
BHMNCPNST01,2016-10-08 14:03:00,12.66,1,1751787993992,257,485,14,3,0.8264705882352942,0.5298969072164949,0.5741744523195876
Broad Street,2016-10-18 10:01:00,12.72,1,1751787993992,607,690,10,1,0.5892156862745098,0.8797101449275362,0.7678840084352355
BHMEURBRD01,2016-11-15 14:03:00,12.6,1,1751787993992,452,470,14,3,0.8264705882352942,0.9617021276595744,0.6997922207446808
Others-CCCPS202,2016-11-16 14:27:00,12.13,1,1751787993992,1351,2937,14,27,0.85,0.459993190330269,0.38872574055158327
BHMBCCTHL01,2016-12-08 13:25:00,12.42,1,1751787993992,398,387,13,25,0.7892156862745098,1.028423772609819,0.9337855297157622
Others-CCCPS135a,2016-11-09 11:00:00,12.75,1,1751787993992,3206,3883,11,0,0.6470588235294118,0.8256502704094772,0.773926409992274
Broad Street,2016-11-29 16:28:00,12.75,1,1751787993992,454,690,16,28,0.968627450980392,0.6579710144927536,0.7129275114639946
BHMNCPNST01,2016-12-11 10:59:00,12.64,1,1751787993992,225,485,10,59,0.646078431372549,0.4639175257731959,0.5190459890463918
BHMNCPHST01,2016-11-16 16:00:00,12.32,1,1751787993992,664,1200,16,0,0.9411764705882353,0.5533333333333333,0.47565104166666666
BHMEURBRD01,2016-11-21 08:31:00,12.58,1,1751787993992,197,470,8,31,0.5009803921568627,0.41914893617021276,0.5594705784574467
Shopping,2016-12-16 12:56:00,12.76,1,1751787993992,1329,1920,12,56,0.7607843137254902,0.6921875,0.6730837901433309
Broad Street,2016-10-07 09:04:00,12.73,1,1751787993992,396,690,9,4,0.5333333333333333,0.5739130434782609,0.6434202774711277
Broad Street,2016-11-22 13:57:00,12.8,1,1751787993992,569,690,13,57,0.8205882352941176,0.8246376811594203,0.734028979315274
BHMNCPHST01,2016-11-16 16:33:00,12.4,1,1751787993992,556,1200,16,33,0.973529411764706,0.4633333333333333,0.4694921875
Broad Street,2016-10-24 08:29:00,12.72,1,1751787993992,304,690,8,29,0.4990196078431372,0.4405797101449275,0.5873043447301007
BHMNCPHST01,2016-10-16 15:31:00,12.4,1,1751787993992,245,1200,15,31,0.9127450980392158,0.20416666666666666,0.3368294270833333
BHMBCCMKT01,2016-10-04 10:26:00,11.87,1,1751787993992,177,577,10,26,0.6137254901960785,0.30675909878682844,0.2316399480069324
Others-CCCPS98,2016-11-07 08:59:00,12.17,1,1751787993992,741,3103,8,59,0.5284313725490195,0.23880116016757977,0.3134875775459233
BHMNCPHST01,2016-12-17 13:00:00,12.52,1,1751787993992,553,1200,13,0,0.7647058823529411,0.4608333333333333,0.3988313802083333
Shopping,2016-12-11 08:02:00,12.57,1,1751787993992,305,1920,8,2,0.4725490196078431,0.15885416666666666,0.41596897840499875
Others-CCCPS135a,2016-11-14 12:27:00,12.82,1,1751787993992,3217,3883,12,27,0.7323529411764705,0.8284831315992789,0.8012047707957765
BHMNCPNST01,2016-10-18 13:28:00,12.73,1,1751787993992,384,485,13,28,0.792156862745098,0.7917525773195876,0.6553992831829897
BHMBCCTHL01,2016-10-06 16:04:00,12.55,1,1751787993992,260,387,16,4,0.9450980392156862,0.6718346253229974,0.8028100775193798
Broad Street,2016-11-03 08:00:00,12.55,1,1751787993992,215,690,8,0,0.47058823529411764,0.3115942028985507,0.44944927381432576
Broad Street,2016-11-03 08:00:00,12.55,1,1751787993992,215,690,8,0,0.47058823529411764,0.3115942028985507,0.3805217383564382
Broad Street,2016-10-28 08:16:00,12.44,1,1751787993992,222,690,8,16,0.4862745098039216,0.3217391304347826,0.3511304343956104
Broad Street,2016-10-28 08:16:00,12.44,1,1751787993992,222,690,8,16,0.4862745098039216,0.3217391304347826,0.33643478241519653
BHMBCCTHL01,2016-11-24 13:30:00,12.68,1,1751787993992,400,387,13,30,0.7941176470588235,1.0335917312661498,0.9182009043927648
Others-CCCPS8,2016-11-23 08:57:00,12.59,1,1751787993992,524,1322,8,57,0.526470588235294,0.39636913767019666,0.5042996774462817
Others-CCCPS202,2016-12-02 12:58:00,12.35,1,1751787993992,1259,2937,12,58,0.7627450980392156,0.42866870956758596,0.4086972250595846
Others-CCCPS135a,2016-10-14 12:01:00,12.86,1,1751787993992,2675,3883,12,1,0.7068627450980393,0.6889003347926861,0.7450525527942313
BHMNCPHST01,2016-12-16 10:03:00,12.56,1,1751787993992,638,1200,10,3,0.5911764705882353,0.5316666666666666,0.46524902343749996
Others-CCCPS202,2016-12-09 11:29:00,12.37,1,1751787993992,1194,2937,11,29,0.6754901960784313,0.4065372829417773,0.40761725400068094
Shopping,2016-11-30 13:28:00,12.66,1,1751787993992,1572,1920,13,28,0.792156862745098,0.81875,0.6173594892024994
BHMBCCTHL01,2016-11-18 15:28:00,12.76,1,1751787993992,361,387,15,28,0.9098039215686274,0.9328165374677002,0.9255087209302325
BHMEURBRD01,2016-11-20 11:01:00,12.48,1,1751787993992,98,470,11,1,0.6480392156862745,0.20851063829787234,0.3839906083776595
BHMBCCMKT01,2016-10-25 13:03:00,12.09,1,1751787993992,331,577,13,3,0.7676470588235295,0.5736568457538995,0.402648396880416
Broad Street,2016-11-14 13:00:00,12.6,1,1751787993992,629,690,13,0,0.7647058823529411,0.9115942028985508,0.6240144926568736
BHMEURBRD01,2016-10-13 13:31:00,12.63,1,1751787993992,433,470,13,31,0.7950980392156863,0.9212765957446809,0.6526336020611703
BHMNCPNST01,2016-11-09 09:00:00,12.7,1,1751787993992,283,485,9,0,0.5294117647058824,0.5835051546391753,0.6194522189110825
Others-CCCPS98,2016-10-05 07:57:00,12.05,1,1751787993992,650,3103,7,57,0.4676470588235294,0.20947470190138576,0.26148113972365455
Others-CCCPS105a,2016-10-06 15:04:00,12.73,1,1751787993992,1268,2009,15,4,0.8862745098039215,0.6311597809855649,0.5982449096254355
Others-CCCPS98,2016-11-27 13:32:00,12.31,1,1751787993992,1521,3103,13,32,0.796078431372549,0.49017080244924266,0.3758259710864486
BHMMBMMBX01,2016-11-20 09:01:00,12.71,1,1751787993992,236,687,9,1,0.5303921568627451,0.3435225618631732,0.5969057041484715
Others-CCCPS105a,2016-10-13 11:57:00,12.73,1,1751787993992,1334,2009,11,57,0.7029411764705882,0.6640119462419114,0.6311284279336735
Others-CCCPS105a,2016-11-10 16:27:00,12.69,1,1751787993992,991,2009,16,27,0.9676470588235294,0.49328023892483824,0.5622043334292559
Others-CCCPS98,2016-11-16 09:00:00,12.23,1,1751787993992,786,3103,9,0,0.5294117647058824,0.25330325491459876,0.3145646130005237
BHMMBMMBX01,2016-11-05 15:26:00,12.76,1,1751787993992,549,687,15,26,0.907843137254902,0.7991266375545851,0.6980161708515283
BHMNCPHST01,2016-12-11 08:02:00,12.35,1,1751787993992,135,1200,8,2,0.4725490196078431,0.1125,0.28887451171875
BHMNCPHST01,2016-12-11 08:02:00,12.35,1,1751787993992,135,1200,8,2,0.4725490196078431,0.1125,0.200687255859375
BHMMBMMBX01,2016-11-23 13:04:00,12.82,1,1751787993992,639,687,13,4,0.7686274509803921,0.9301310043668122,0.8140735876091703
Others-CCCPS105a,2016-11-21 09:04:00,12.59,1,1751787993992,710,2009,9,4,0.5333333333333333,0.35340965654554507,0.4578069949874005
BHMNCPNST01,2016-11-03 16:03:00,12.73,1,1751787993992,310,485,16,3,0.9441176470588236,0.6391752577319587,0.6293137383215206
Broad Street,2016-10-04 16:31:00,12.64,1,1751787993992,466,690,16,31,0.9715686274509804,0.6753623188405797,0.6496884057487267
Others-CCCPS202,2016-12-13 13:02:00,12.52,1,1751787993992,1367,2937,13,2,0.7666666666666666,0.4654409261150834,0.4365290900578822
Others-CCCPS98,2016-10-15 11:01:00,12.15,1,1751787993992,729,3103,11,1,0.6480392156862745,0.23493393490170802,0.27474927395111587
Others-CCCPS135a,2016-11-24 14:57:00,12.87,1,1751787993992,3157,3883,14,57,0.8794117647058823,0.8130311614730878,0.7790418571336596
Broad Street,2016-11-21 12:31:00,12.72,1,1751787993992,617,690,12,31,0.7362745098039216,0.8942028985507247,0.7719456521497257
BHMBCCMKT01,2016-10-26 11:26:00,12.12,1,1751787993992,182,577,11,26,0.6725490196078432,0.31542461005199307,0.3590365034662045
Others-CCCPS98,2016-10-26 15:26:00,12.29,1,1751787993992,1722,3103,15,26,0.907843137254902,0.5549468256525942,0.4148480498018551
BHMBCCMKT01,2016-10-08 13:30:00,12.35,1,1751787993992,357,577,13,30,0.7941176470588235,0.6187175043327556,0.4888770038994801
Others-CCCPS105a,2016-10-19 08:25:00,12.53,1,1751787993992,817,2009,8,25,0.49509803921568624,0.4066699850671976,0.4322384900272991
Others-CCCPS202,2016-10-16 16:31:00,12.46,1,1751787993992,718,2937,16,31,0.9715686274509804,0.24446714334354783,0.340498116700715
Broad Street,2016-11-26 15:28:00,12.68,1,1751787993992,289,690,15,28,0.9098039215686274,0.41884057971014493,0.5953931159299353
Shopping,2016-12-01 11:58:00,12.72,1,1751787993992,1540,1920,11,58,0.703921568627451,0.8020833333333334,0.7097214112679164
Others-CCCPS135a,2016-10-22 15:26:00,12.74,1,1751787993992,1327,3883,15,26,0.907843137254902,0.3417460726242596,0.5603939648789595
Shopping,2016-11-09 10:00:00,12.75,1,1751787993992,1241,1920,10,0,0.5882352941176471,0.6463541666666667,0.6780377889672915
